"Akibatnya , perlakuan mengenai hak atas bunga tabungan tersebut berbeda-beda antardaerah","Akibaté, perawatan hak kanggo kapentingan tabungan beda-beda ing antarane wilayah"
"Dari setiap kabupaten , dipilih dua kecamatan dan di setiap kecamatan dipilih satu desa , hingga berjumlah empat desa","saking saben kabupaten , dipunpileh kalih kecamatan uga ing saben kecamatan dipunpileh setunggal dhusun , ngantos milangan sekawan dhusun "
Setiap rumah tangga di desa-desa tersebut didata,saben griya tangga ing dhusun-dhusun kesebat didata 
Jarak dari ibu kota kabupaten ke kecamatan yang terpilih juga dipertimbangkan,antawis saking ibu kitha kabupaten datheng kecamatan ingkang kepileh ugi dipertimbangkan 
Satu kecamatan berjarak jauh dari ibu kota kabupaten dan satu kecamatan lainnya berjarak dekat,setunggal kecamatan ngantawis tebih saking ibu kitha kabupatenuga setunggal kecamatan bentenipun ngantawis celak 
Sampel tidak dimaksudkan menjadi representatif kabupaten atau kecamatan,Sampel mboten dipunpangangkahaken dados representatifkabupaten utawi kecamatan 
Desa-desa terpilih di Cianjur adalah Desa Parakantugu di Kecamatan Cijati dan Desa Cibulakan di Kecamatan Cugenang,dhusun-dhusun kepileh ing Cianjur yaiku dhusun Parakantuguing Kecamatan Cijati uga dhusun Cibulakan ing KecamatanCugenang 
Sementara desa yang terpilih di Demak adalah Desa Jungpasir di Kecamatan Wedung dan Desa Kedondong di Kecamatan Demak,Sementara dhusun ingkang kepileh ing Demak yaiku dhusun Jungpasir ing Kecamatan Wedung uga dhusun Kedondong ing Kecamatan Demak 
Informasi dasar pada setiap desa ini dapat dilihat dalam Tabel IV.2,Informasi dasar ing saben dhusun niki saged dipunningal lebet Tabel IV.2 
"Akan tetapi , kendala pengumpulan data tersebut telah diakui secara luas","nanging , kendala pangempalan data kesebat sampun dipunkulani sacara wiyar "
Keuntungan utama penggunaan PCA adalah bahwa metode ini memperkenankan penentuan indikator kemiskinan yang berkarakteristik lokal,Keuntungan utami pangginan PCA yaiku menawi metode niki memperkenankan penentuan indikator kemiskinan ingkang berkarakteristik lokal 
Analisisnya bersumbu pada tingkat keluarga dan variabel yang digunakan dapat dilihat pada Tabel V.1,Analisisnya bersumbu ing tingkat keluarga uga variabel ingkang dipunginakaken saged dipunningal ing Tabel V.1 
Hasil-hasil PCA didiskusikan secara terpisah untuk setiap desa pada Bagian VIII hingga XI,pikantuk-pikantuk PCA didiskusikan sacara kesapih konjuk saben dhusun ing kunjukan VIII ngantos XI 
"DESA KEDONDONG Desa Kedondong terletak 10 km dari Ibu kota Kabupaten Demak , terdiri dari tiga RW dengan total 20 RT","dhusun KEDONDONG dhusun Kedondong manggen 10 kmsaking ibu kitha Kabupaten Demak , badan saking telu RWkaliyan total 20 RT "
"Desa ini dikelompokan dalam blok , dengan masing-masing bloknya terdapat satu RT atau terdiri atas 60 rumah","dhusun niki dikelompokan lebet blok , kaliyan masing-masing bloknya enten setunggal RT utawi badan inggil 60 griya "
"Menyangkut fasilitas pendidikan , terdapat empat SD namun tidak terdapat SLTP atau SLTA","ngusung fasilitas pamucalan , enten sekawan SD nanging mboten enten SLTP utawi SLTA "
SLTP terdekat berjarak 3 km dari desa ini dan SLTA terdekat berjarak 5 km,SLTP paling celak ngantawis 3 km saking dhusun niki uga SLTApaling celak ngantawis 5 km 
"Sementara itu , fasilitas pendidikan tinggi terdekat berjarak 8 km , dekat pusat kota","Sementara punika , fasilitas pamucalan inggil paling celak ngantawis 8 km , celak puser kitha "
"Lebih lagi , tidak tersedia fasilitas pendidikan nonformal","langkung malih , mboten sampun dicawis fasilitas pamucalan nonformal "
"Terlebih lagi , obat-obatan tanpa resep dokter pun tersedia di kios-kios kecil di seluruh desa","tirah-tirah malih , jampi-jampen tanpa resep dokter pun sampun dicawis ing kios-kios alit ing sedaya dhusun "
Akses keluar dan masuk desa cukup memadai,Akses medal uga mlebet dhusun cekap ngenteni 
"Singkatnya , ini merupakan jenis jalan yang berada satu tingkat di bawah jalan beraspal","Singkatnya , niki ngrupikaken jenis radin ingkang wonten setunggal tingkat ing ngandhap radin beraspal "
"Dengan demikian , jalan ini dapat dilalui setiap tahun","kaliyan mekaten , radin niki saged kelangkungan saben taun "
"Transportasi umum seperti minibus dan ojek tersedia setiap hari , sedikitnya selama 8 jam","Transportasi umum kados minibus uga ojek sampun dicawis saben dinten , sekedhikipun salebetipun 8 jam "
"Dalam hal sanitasi , kebanyakan warga masyarakatnya memanfaatkan air sungai di sebelah barat desa untuk mandi","lebet hal sanitasi , kekathahen warga masyarakatnyangginakaken toya lepen ing sisih kilen dhusun konjuk adus"
"Sebaliknya , hampir semua anggota masyarakatnya mengkonsumsi air minum dari PAM","sawalikipun , hampir sedaya anggota masyarakatnyamengkonsumsi toya inum saking PAM "
"Namun , di desa ini tidak terdapat kantor pos , dan kantor pos terdekat berjarak 6 km dari desa","nanging , ing dhusun niki mboten enten kantor pos , uga kantor pos paling celak ngantawis 6 km saking dhusun "
Bank resmi yang tersedia di desa ini adalah bank milik pemerintah ,Bank resmi ingkang sampun dicawis ing dhusun niki yaiku bankgadhah pamerentah 
"DESA JUNGPASIR Desa Jungpasir adalah satu di antara 20 desa di Kecamatan Wedung , di Kabupaten Demak","dhusun JUNGPASIR dhusun Jungpasir yaiku setunggal ing antawis 20 dhusun ing Kecamatan Wedung , ing KabupatenDemak "
Desa ini berjarak 25 km dari kota kabupaten dan sekitar 15 km dari kota kecamatan,dhusun niki ngantawis 25 km saking kitha kabupaten uga sekitar15 km saking kitha kecamatan 
Desa Jungpasir berada jauh dari jalan negera (jalan yang dibangun pemerintah pusat) yang menghubungkan Demak dan Jepara,dhusun Jungpasir wonten tebih saking radin negera (radin ingkang dipunwungu pamerentah puser) ingkang hubungaken Demak uga Jepara 
"Di desa tersebut , jalan utama terbuat dari aspal , meskipun telah mengalami banyak kerusakan akibat minimnya pemeliharaan","ing dhusun kesebat , radin utami kedamel saking aspal , senaosa sampun ngalami kathah karisakan akibat minimnya pangingah-ingah "
Terdapat dua jalan utama yang menuju ke Desa Jungpasir,enten kalih radin utami ingkang menuju datheng dhusun Jungpasir 
"Kondisi jalan di sisi Jepara terawat dengan baik , sangat berbeda dengan kondisi jalan di Demak","Kondisi radin ing sisi Jepara terawat kaliyan sae , benten sanget kaliyan kondisi radin ing Demak "
Ini membuat jarak tempuh dari ibu kota Demak ke Jungpasir hanya memerlukan satu jam,niki ndamel antawis tempuh saking ibu kitha Demak datheng Jungpasir namung mbetahaken setunggal jam 
Alternatif jalan lainnya adalah melewati ibu kota Kecamatan Wedung,Alternatif radin bentenipun yaiku nglangkungi ibu kitha Kecamatan Wedung 
"Namun , waktu perjalanan yang ditempuh menjadi lebih panjang , yakni lebih dari dua jam karena parahnya kondisi jalan","nanging , wanci radin ingkang ditempuh dados langkung panjang , yakni langkung saking kalih jam amargi parahnya kondisi radin "
Luas wilayah pemukiman hanya mencakupi 30 hektare dan dikelompokkan di area sepanjang jalan utama desa,wiyar wilayah pangawisan namung mencakupi 30 hektare uga dikelompokkan ing area sapanjang radin utami dhusun 
"Sebagian luasnya diperuntukan bagi fasilitas umum , fasilitas keagamaan , tanah kuburan , dan lain-lain","sakunjukan wiyaripun dipunkonjukakenan kunjuk fasilitas umum ,fasilitas kagamen , siti petakan , uga benten-benten "
Jenis pekerjaan lain adalah berjualan makanan dan buah,Jenis padamelan benten yaiku mande tedhan uga buah 
"Kebanyakan warga masyarakat yang bekerja di sektor ini melakukan dagangnya di Demak , Jepara dan bahkan Jakarta","kekathahen warga masyarakat ingkang nyambut damel ing sektor niki numindakake gramenipun ing Demak , Jepara uga bahkan Jakarta "
"Untuk sumber penerangan , setiap rumah mendapat pasokan listrik dari PLN","konjuk sumber panempuhan , saben griya nyaged pasokan listrik saking PLN "
Kebanyakan warga juga telah memiliki WC pribadi,kekathahen warga ugi sampun nggadhahi WC pribadi 
"Meski demikian , masih ada beberapa warga yang memanfaatkan air sungai atau WC milik tetangganya","parandosipun , taksih enten beberapa warga ingkang ngginakaken toya lepen utawi WC gadhah tangginipun "
"Untuk desa yang terletak jauh dari ibu kota kabupaten , fasilitas pendidikan umumnya telah tersedia","konjuk dhusun ingkang manggen tebih saking ibu kitha kabupaten , fasilitas pamucalan umumnya sampun sampun dicawis "
"Ada tiga sekolah dasar , satu sekolah menengah pertama (SLTP) swasta dan satu sekolah menengah atas (SLTA) swasta","enten telu sekolah dasar , setunggal sekolah madya setunggal (SLTP) swasta uga setunggal sekolah madya inggil (SLTA)swasta "
Satu-satunya fasilitas kesehatan yang tersedia adalah poliklinik umum yang dilayani seorang bidan dan seorang perawat,setunggal-setunggalipun fasilitas kesarasan ingkang sampun dicawis yaiku poliklinik umum ingkang dipunladosi satiyang bidanuga satiyang perawat 
"Di samping itu , ada juga dua dukun beranak","ing samping punika , enten ugi kalih dukun nduwe anak "
"Untuk pelayanan dokter umum atau dokter spesialis , warga masyarakat terpaksa harus pergi ke Demak","konjuk paladosan dokter umum utawi dokter spesialis , wargamasyarakat kepeksa kedah kesah datheng Demak "
"Akan halnya fasilitas telekomunikasi , segelintir kecil warga masyarakat memiliki sambungan telepon sendiri","badhe halnya fasilitas telekomunikasi , segelintir alit wargamasyarakat nggadhahi sambetan telepon piyambak "
"Meski demikian , terdapat enam wartel di desa tersebut","parandosipun , enten enem wartel ing dhusun kesebat "
"Fasilitas umum yang lain seperti pasar , kantor pos , bank belum tersedia di desa tersebut","Fasilitas umum ingkang benten kados peken , kantor pos , bankdereng sampun dicawis ing dhusun kesebat "
DESA CIBULAKAN Cibulakan adalah satu dari 16 desa di Kecamatan Cugenang di Kabupaten Cianjur,dhusun CIBULAKAN Cibulakan yaiku setunggal saking 16dhusun ing Kecamatan Cugenang ing Kabupaten Cianjur 
"Desa ini dibagi atas tiga blok utama , yang secara keseluruhannya terdiri atas 6 RW dan 22 RT","dhusun niki dipunpara inggil telu blok utami , ingkang samudayanipunipun badan inggil 6 RW uga 22 RT "
"Kelima RW pertama terletak di sisi jalan desa , sementara RW 6 terletak kira-kira 2 km dari jalan desa dan dikelilingi persawahan","kegangsal RW setunggal manggen ing sisi radin dhusun ,sementara RW 6 manggen udakawis 2 km saking radin dhusun uga kepang sabinan"
Desa ini terletak kira-kira 6 km dari ibu kota Cianjur atau 4 km dari ibu kota Cugenang,dhusun niki manggen udakawis 6 km saking ibu kitha Cianjurutawi 4 km saking ibu kitha Cugenang 
"Meski tidak berada dekat dengan jalan-jalan antarkota , desa ini dapat diakses dari dua arah jalan yakni","senaos mboten wonten celak kaliyan mlampah-mlampah antarkota , dhusun niki saged diakses saking kalih arah radin yakni "
Kedua jalan tersebut dapat dicapai dalam 20 menit waktu perjalanan dengan mobil dari desa tersebut,kaping kalih radin kesebat saged dicapai lebet 20 menit wanci radin kaliyan mobil saking dhusun kesebat 
"Sementara itu , jalan dari jalan antarkota ke desa tersebut relatif terpelihara dengan baik , meskipun sangat sempit","Sementara punika , radin saking radin antarkota datheng dhusun kesebat relatif keingah kaliyan sae , senaosa cupet sanget "
Jalan ini telah memungkinkan transportasi umum seperti minibus untuk melayani desa,radin niki sampun mbokmenawikaken transportasi umum kados minibus konjuk ngladosi dhusun 
Hal ini jelas membantu warga masyarakat untuk mencapai kota Cianjur,Hal niki pertela mbiantu warga masyarakat konjuk mencapaikitha Cianjur 
"Selain minibus , transportasi umum lain yang ada di desa tersebut adalah jasa ojek yang melayani transportasi jarak pendek","kajawi minibus , transportasi umum benten ingkang enten ing dhusun kesebat yaiku jasa ojek ingkang ngladosi transportasiantawis andhap "
Jasa ojek ini secara khusus dimanfaatkan oleh warga masyarakat RW 6 yang tidak dilayani oleh minibus,Jasa ojek niki sacara khusus dipunginakaken dening wargamasyarakat RW 6 ingkang mboten dipunladosi dening minibus 
"Selain itu , jalan yang mengarah ke RW tersebut hanya dapat dilalui oleh ojek selama musim hujan","kajawi punika , radin ingkang ngleres datheng RW kesebat namung saged kelangkungan dening ojek salebetipun musimjawah "
"Menurut data terakhir dari BPS , pada 2003 luas wilayah Cibulakan adalah 200 hektare","miturut data paling akhir saking BPS , ing 2003 wiyar wilayahCibulakan yaiku 200 hektare "
"Wilayah terluas (138,3 hektare) dipakai untuk kegiatan persawahan sepanjang tahun","Wilayah paling wiyar (138,3 hektare) kunjuk konjuk kengungkukan sabinan sapanjang taun "
"Untuk wilayah tempat tinggal luasnya mencapai 34,5 hektare","konjuk wilayah panggen tilar wiyaripun mencapai 34,5 hektare "
Sisanya dimanfaatkan untuk kolam ikan dan fasilitas umum,tirahipun dipunginakaken konjuk kolam ulam uga fasilitas umum 
"Kebanyakan petani menanam padi , sementara hanya segelintir yang menanam sayur-sayuran atau mengusahakan budidaya ikan","kekathahen petani nanem pantun , sementara namung segelintiringkang nanem sayur-sayuran utawi ngupadosaken budidayaulam "
"Cukup banyak warga masyarakat yang bekerja sebagai TKI , khususnya di negara-negara Timur Tengah","cekap kathah warga masyarakat ingkang nyambut damel dados TKI , khususnya ing nagari-nagari wetan madya "
Keluarga-keluarga TKI umumnya relatif lebih makmur dibanding dengan keluarga-keluarga lainnya,Keluarga-keluarga TKI umumnya relatif langkung makmurdipunbanding kaliyan keluarga-keluarga bentenipun 
Mereka yang tidak memiliki air PDAM dapat mengambilnya dari sumber air PDAM yang tersedia secara gratis di mesjid setempat,piyambake sedaya ingkang mboten nggadhahi toya PDAMsaged mendhetipun saking sumber toya PDAM ingkang sampun dicawis sacara gratis ing mesjid sapanggen 
Banyak warga telah memiliki fasilitas kamar mandi dan WC secara terpisah,kathah warga sampun nggadhahi fasilitas kamar adus uga WCsacara kesapih 
Fasilitas pendidikan di desa tersebut terbatas,Fasilitas pamucalan ing dhusun kesebat kewates 
Terdapat empat sekolah dasar negeri dan satu sekolah menengah pertama (SLTP) swasta,enten sekawan sekolah dasar negeri uga setunggal sekolahmadya setunggal (SLTP) swasta 
"Meski demikian , sekolah lain juga relatif dekat","parandosipun , sekolah benten ugi relatif celak "
"Terlebih lagi , sekolah-sekolah yayasan Islam yang dikelola secara lokal seperti pesantren juga tersedia di desa tersebut","tirah-tirah malih , sekolah-sekolah yayasan Islam ingkang dikelola sacara lokal kados pesantren ugi sampun dicawis ing dhusun kesebat "
Tidak terdapat fasilitas layanan umum kesehatan di desa ini,mboten enten fasilitas ladosan umum kesarasan ing dhusun niki 
Satu-satunya yang pernah ada tidak digunakan lagi,setunggal-setunggalipun ingkang nate enten mboten dipunginakaken malih 
"Meski demikian , terdapat dua orang perawat yang telah membuka praktik pribadi di rumahnya dan demikian juga seorang bides","parandosipun , enten kalih tiyang perawat ingkang sampun mbikak praktik pribadi ing griyanipun uga mekaten ugi satiyang bides "
Fasilitas telekomunikasi umumnya banyak tersedia,Fasilitas telekomunikasi umumnya kathah sampun dicawis 
"Jaringan telepon permanen tersedia dari Telkom , meski jumlah pelanggan sangat kecil","Jaringan telepon permanen sampun dicawis saking Telkom ,senaos wilangan pelanggan alit sanget "
"Sementara , terdapat juga wartel yang tersedia bagi warga masyarakat","Sementara , enten ugi wartel ingkang sampun dicawis kunjuk warga masyarakat "
"Sebaliknya , telepon selular menjadi kian marak","sawalikipun , telepon selular dados kian nyapih "
"ketersediaan handset murah , sinyal telepon yang dapat diterima dengan baik , dan biaya komunikasi (airtime) yang sangat murah","ketersediaan handset mirah , sinyal telepon ingkang saged katampi kaliyan sae , uga biaya komunikasi (airtime) ingkang mirah sanget"
"Bentuk infrastruktur lain yang lebih besar seperti pasar , kantor pos , kantor polisi dan bank belum tersedia","bentuk infrastruktur benten ingkang langkung ageng kados peken , kantor pos , kantor polisi uga bank dereng sampun dicawis "
"DESA PARAKANTUGU Sebelum tahun 2005 , Parakantugu adalah bagian dari Kecamatan Kadupandak","dhusun PARAKANTUGU sadereng taun 2005 , Parakantuguyaiku kunjukan saking Kecamatan Kadupandak "
"Pada Januari 2005 , ada pemekaran kecamatan menjadi dua kecamatan yakni","ing Januari 2005 , enten pamekrokan kecamatan dados kalih kecamatan yakni "
Kecamatan Kadupandak dan Kecamatan Cijati,Kecamatan Kadupandak uga Kecamatan Cijati 
Desa Parakantugu masuk menjadi bagian dari kecamatan baru,dhusun Parakantugu mlebet dados kunjukan saking kecamatanenggal 
Desa Parakantugu terletak di sepanjang Sungai Cibuni yang kerap terjadi banjir selama musim penghujan,dhusun Parakantugu manggen ing sapanjang lepen Cibuniingkang asring kedadosan bena salebetipun musim panjawah 
Desa ini terletak kira-kira 90 km dari ibu kota Cianjur dan 5 km dari kota Kecamatan Cijati,dhusun niki manggen udakawis 90 km saking ibu kitha Cianjuruga 5 km saking kitha Kecamatan Cijati 
"Ironisnya , Desa Parakantugu hanya berjarak 2 km dari kota Kecamatan Kadupandak","Ironisnya , dhusun Parakantugu namung ngantawis 2 km saking kitha Kecamatan Kadupandak "
"Untuk menuju desa ini , waktu tempuh dengan mobil dari Kota Cianjur kurang lebih 4 hingga 5 jam","konjuk menuju dhusun niki , wanci tempuh kaliyan mobil saking kitha Cianjur kirang langkung 4 ngantos 5 jam "
Cianjur - Sukanagara - Kadupandak - Parakantugu,Cianjur - Sukanagara - Kadupandak - Parakantugu 
Rute ini yang paling sulit karena buruknya kondisi jalan sepanjang 15 km menjelang Kadupandak,Rute niki ingkang paling rekaos amargi awonipun kondisi radin sapanjang 15 km menjelang Kadupandak 
"Namun , rute ini dilalui oleh transpor umum","nanging , rute niki kelangkungan dening transpor umum "
Cianjur - Sukanagara - Tanggeung - Cigadog - Parakantugu,Cianjur - Sukanagara - Tanggeung - Cigadog - Parakantugu 
Rute ini juga dalam kondisi buruk karena sepanjang 20 km hanya terdapat pengerasan,Rute niki ugi lebet kondisi awon amargi sapanjang 20 kmnamung enten pangatosan 
Cianjur - Sukanagara - Wedung - Parakantugu,Cianjur - Sukanagara - Wedung - Parakantugu 
Tranportasi umum lainya tidak diizinkan masuk menyusul pertikaian antara tukang ojek dan sopir minibus beberapa tahun yang lalu,Tranportasi umum lainya mboten diizinkan mlebet ngurun rembug pertikaian antawis tukang ojek uga sopir minibusbeberapa taun ingkang lajeng 
"Rute ini paling baik dimanfaatkan jika membawa kendaraan pribadi , meski jalannya sangat sempit","Rute niki paling sae dipunginakaken menawi mbekta tumpakan pribadi , senaos radinipun cupet sanget "
"Minibus beroperasi pada pukul 06.00 hingga 16.00 , sementara jasa ojek dipakai terutama untuk perjalanan di dalam desa","Minibus beroperasi ing gebag 06.00 ngantos 16.00 , sementarajasa ojek kunjuk paling utami konjuk radin ing lebet dhusun "
Kondisi jalan utama di Parakantugu tidak terawat dengan baik,Kondisi radin utami ing Parakantugu mboten terawat kaliyan sae 
"Sebagaian jalannya berbatu-batu , bertanah dan sebagian kecilnya beraspal","dadosan radinipun nyela-sela , nduwe siti uga sakunjukan alitipun beraspal "
"Akan tetapi , lorong-lorong kecil menuju rumah warga telah diaspalkan dengan dana Proyek Pengembangan Kecamatan","nanging , lorong-lorong alit menuju griya warga sampun diaspalkan kaliyan dana Proyek Pengembangan Kecamatan "
Sayangnya tidak ada dana pemeliharaan dan hanya menunggu waktu saja sampai jalan ini kembali rusak,tresnanipun mboten enten dana pangingah-ingah uga namung nengga wanci kamawon ngantos radin niki wangsul risak 
"Menurut data BPS 2003 , Parakantugu memiliki luas 351 hektare","miturut data BPS 2003 , Parakantugu nggadhahi wiyar 351hektare "
Enam puluh persen dari wilayahnya adalah lahan padi yang dapat dipanen sekali setahun karena musim kering yang panjang,enem dasa persen saking wilayahnya yaiku pasiten pantun ingkang saged dipanen pisan sataun amargi musim aking ingkang panjang 
"Untuk pemukiman penduduk , luas lahan yang terpakai kira-kira 17,4% dari total lahan yang ada","konjuk pangawisan para wargi , wiyar pasiten ingkang kangge udakawis 17,4% saking total pasiten ingkang enten "
Kebanyakan warga masyarakat lahir di desa tersebut dan hanya ada sedikit pendatang,kekathahen warga masyarakat lair ing dhusun kesebat uga namung enten sekedhik pandatheng 
"Sebagian kecil bekerja sebagai pedagang , PNS dan karyawan","sakunjukan alit nyambut damel dados panggramen , PNS uga karyawan "
"Kaum muda bekerja sebagai buruh bangunan , buruh angkut dan tukang ojek","kaneman nyambut damel dados berah wungon , berah usung uga tukang ojek "
"Selain itu , banyak perempuan di desa ini bekerja sebagai TKW di Saudi Arabia","kajawi punika , kathah estri ing dhusun niki nyambut damel dados TKW ing Saudi Arabia "
"Tidak ada fasilitas kesehatan di desa ini , meski demikian desa ini memiliki seorang bides","mboten enten fasilitas kesarasan ing dhusun niki , parandosipun dhusun niki nggadhahi satiyang bides"
Juga terdapat tiga dukun beranak yang banyak diminta bantuannya,ugi enten telu dukun nduwe anak ingkang kathah dipuntedha bantuannya 
"Dalam hal fasilitas pendidikan , terdapat empat SDN dan satu SLTP swasta","lebet hal fasilitas pamucalan , enten sekawan SDN uga setunggal SLTP swasta "
Untuk ke SLTA terdekat perlu jarak tempuh satu jam perjalanan dengan mobil,konjuk datheng SLTA paling celak betah antawis tempuhsetunggal jam radin kaliyan mobil 
Mungkin ini menjadi alasan utama mengapa kebanyakan anak usia sekolah menjadi putus sekolah setelah menyelesaikan SLTP,bokmenawi niki dados alasan utami kenging punapa kekathahen anak umur sekolah dados putus sekolah saksampune ndumugekaken SLTP 
PROFIL KUANTITATIF DESA CBMS Bagian ini menjelaskan profil desa CBMS yang terbagi atas enam katagori,PROFIL KUANTITATIF dhusun CBMS kunjukan niki mertelakaken profil dhusun CBMS ingkang kunjuk inggil enem katagori 
PENDUDUK Tabel VII.1 memberikan karakteristik populasi keempat desa CBMS,para wargi Tabel VII.1 nyukakaken karakteristik populasi kaping sekawan dhusun CBMS 
"Terdapat 1428 keluarga di Cibulakan , dengan rata-rata jumlah anggota dalam keluarga 4,5 orang","enten 1428 keluarga ing Cibulakan , kaliyan radin-radin wilangan anggota lebet keluarga 4,5 tiyang "
"Jumlah ini sedikit lebih tinggi dibandingkan dengan jumlah ideal rata-rata anggota keluarga menurut BKKBN , yakni empat orang","wilangan niki sekedhik langkung inggil dipunbandingaken kaliyan wilangan ideal radin-radin anggota keluarga miturut BKKBN ,yakni sekawan tiyang "
"Rata-rata jumlah anggota keluarga sudah ideal , yakni 3,8 per keluarga","radin-radin wilangan anggota keluarga sampun ideal , yakni 3,8saben keluarga "
Jumlah laki-laki sedikit lebih banyak dibandingkan jumlah perempuan di desa ini dan 13% keluarga dikepalai oleh perempuan,wilangan kakung sekedhik langkung kathah dipunbandingaken wilangan estri ing dhusun niki uga 13% keluarga dipunsirahi dening estri 
"Sebagaimana di desadesa lainnya , keluarga yang dikepalai perempuan umumnya adalah keluarga dengan orang tua tunggal","sami kaliyan ing desadesa bentenipun , keluarga ingkang dipunsirahi estri umumnya yaiku keluarga kaliyan tiyang sepuh tunggil "
"Sementara itu , 12,1% keluarga dikepalai oleh perempuan","Sementara punika , 12,1% keluarga dipunsirahi dening estri "
"Di Desa Jungpasir , terdapat 1272 keluarga","ing dhusun Jungpasir , enten 1272 keluarga "
"Rata-rata jumlah anggota lebih besar , yakni 4,7 orang per keluarga","radin-radin wilangan anggota langkung ageng , yakni 4,7 tiyang saben keluarga "
Jumlah laki-laki dan perempuan di desa ini berimbang,wilangan kakung uga estri ing dhusun niki berimbang 
Sementara hanya 15% keluarga yang dikepalai oleh perempuan yang kebanyakan adalah janda mati atau cerai,Sementara namung 15% keluarga ingkang dipunsirahi dening estri ingkang kekathahen yaiku randha pejah utawi cerai 
"Sebanyak 93,7% kepala keluarga di Cibulakan berstatus bekerja","sakathah 93,7% sirah keluarga ing Cibulakan berstatus nyambut damel "
"Dari jumlah keluarga yang kepala keluarganya tidak bekerja , umumnya terdapat anggota keluarga lain yang juga bekerja","saking wilangan keluarga ingkang sirah keluarganya mboten nyambut damel , umumnya enten anggota keluarga benten ingkang ugi nyambut damel "
"Akan tetapi , terdapat 5% keluarga yang tidak memiliki anggota yang bekerja","nanging , enten 5% keluarga ingkang mboten nggadhahi anggotaingkang nyambut damel "
"Tingkat angka pekerja di Cibulakan sangat rendah , khususnya di kalangan perempuan","tingkat angka panyambut damel ing Cibulakan andhap sanget ,khususnya ing kalangan estri "
"Secara keseluruhan , hanya separo lebih dari kaum dewasa yang bekerja","samudayanipun , namung separo langkung saking kaum dewasaingkang nyambut damel "
"Tingkat angka pekerja di kalangan perempuan dewasa sangat rendah , yakni 27,8%","tingkat angka panyambut damel ing kalangan estri dewasaandhap sanget , yakni 27,8% "
"Sementara itu , 26,1% memiliki dua sumber pendapatan yang umumnya adalah kepala keluarga dan pasangannya atau anaknya","Sementara punika , 26,1% nggadhahi kalih sumber pamanahan ingkang umumnya yaiku sirah keluarga uga pasanganipun utawi anakipun "
"Seperti telah disebutkan di atas pada Bagian VI , hampir separo penduduk bekerja di sektor pertanian","kados sampun kanamanaken ing inggil ing kunjukan VI , hampirseparo para wargi nyambut damel ing sektor pertanian "
"Sekitar 24,9% bekerja di sektor jasa , terutama sopir , pekerja bangunan , dan guru","Sekitar 24,9% nyambut damel ing sektor jasa , paling utami sopir, panyambut damel wungon , uga guru "
Lainnya bekerja pada industri kecil atau membuka toko-toko kecil,bentenipun nyambut damel ing industri alit utawi mbikak toko-toko alit 
Ada juga yang menerima kiriman uang dari kerabat,enten ugi ingkang nampi kentunan arta saking kerabat 
"Tingkat angka pekerja di antara penduduk usia kerja di Parakantugu sangat rendah , yakni hanya 56,4% yang bekerja","tingkat angka panyambut damel ing antawis para wargi umur nyambut damel ing Parakantugu andhap sanget , yakni namung 56,4% ingkang nyambut damel "
"Sementara itu , hampir separo memiliki dua anggota yang bekerja","Sementara punika , hampir separo nggadhahi kalih anggotaingkang nyambut damel "
"Sementara itu , mayoritas masyarakat bekerja di sektor pertanian , hal yang lazim ditemukan di perdesaan di Jawa","Sementara punika , mayoritas masyarakat nyambut damel ing sektor pertanian , hal ingkang limrah dipunpanggihaken ing pandhusunan ing Jawi"
"Sektor jasa yang banyak diminati masyarakat adalah sopir bus , tukang ojek dan buruh/pekerja bangunan","Sektor jasa ingkang kathah diminati masyarakat yaiku sopir bus ,tukang ojek uga berah/panyambut damel wungon "
"Dari Tabel VII.2 dapat dilihat bahwa hanya 2,6% kepala keluarga di Jungpasir yang tidak memiliki pekerjaan","saking Tabel VII.2 saged dipunningal menawi namung 2,6% sirah keluarga ing Jungpasir ingkang mboten nggadhahi padamelan "
"Hal ini diperkuat oleh fakta bahwa hanya 1,8% keluarga yang tidak memiliki anggota keluarga yang bekerja","Hal niki dipunkiyataken dening fakta menawi namung 1,8%keluarga ingkang mboten nggadhahi anggota keluarga ingkang nyambut damel "
Keluarga tersebut biasanya keluarga orang tua tunggal yang menerima kiriman dari keluarga lain,Keluarga kesebat biyasanipun keluarga tiyang sepuh tunggil ingkang nampi kentunan saking keluarga benten 
Tabel yang sama memperlihatkan bahwa tingkat angka pekerja lebih tinggi pada laki-laki dibanding pada perempuan,Tabel ingkang sami ningalaken menawi tingkat angka panyambut damel langkung inggil ing kakung dipunbanding ing estri 
Hal ini dapat disebabkan oleh fakta bahwa perempuan terkonsentrasi pada pekerjaan domestik di rumah untuk mengurus keluarga,Hal niki saged sangking dening fakta menawi estri terkonsentrasiing padamelan domestik ing griya konjuk ngera keluarga 
Tampak terdapat kondisi-kondisi khusus di kabupaten yang mempengaruhi penyerapan tenaga kerja,katingal enten kondisi-kondisi khusus ing kabupaten ingkang mempengaruhi penyerapan tenaga nyambut damel 
"Di Cianjur , tingkat penyerapan tenaga kerja lebih rendah dibandingkan dengan Demak","ing Cianjur , tingkat penyerapan tenaga nyambut damel langkung andhap dipunbandingaken kaliyan Demak "
"Sebaliknya , sekitar separo keluarga di Demak memiliki dua orang anggota keluarga yang bekerja","sawalikipun , sekitar separo keluarga ing Demak nggadhahi kalih tiyang anggota keluarga ingkang nyambut damel "
