"Manusia membutuhkan makanan dan air supaya menjadi kuat dan sehat, begitu juga tanaman","Manungsa butuh pangan lan banyu dadi kuwat lan sehat, supaya tetanduran"
Fasilitas pendidikan dari sekolah dasar hingga sekolah menengah tersedia di kelurahan ini,Fasilitas pamulangan saka sekolah dasar nganti sekolah nengah uwis dicawis neng kelurahan iki
Nusa Tenggara Timur (NTT) adalah provinsi dengan tingkat kemiskinan yang tergolong tinggi di Indonesia,Nusa Tenggara wetan (NTT) yaiku provinsi karo tingkat kemiskinan sing kalebu dhuwur neng Indonesia
"Oleh karena itu, banyak program penanggulangan kemiskinan yang dilaksanakan di daerah ini, termasuk pelayanan keuangan","sarehdene kuwi, akeh program penanggulangan kemiskinan sing dianakne neng daerah iki, klebu ladenan kedhuwitan "
Efektivitas pengaturan dan pelayanan itu diungkap melalui wawancara dengan sampel nasabah dan non nasabah keuangan mikro,Efektivitas pangaturan lan ladenan kuwi diungkap liwat wawancara karo sampel nasabah lan non nasabah kedhuwitan mikro 
Variasi kebutuhan itu antara lain dipengaruhi oleh jenis usaha dan kondisi lingkungannya,Variasi kebutuhan kuwi antara liya dipengaruhi saka jenis upadi lan kondisi lingkungannya
"Dalam hal kredit, misalnya, usaha golongan miskin tidak selalu membutuhkan tambahan modal","jero hal kredit, kaya ta, upadi tunggalan miskin ora sanuli mbutuhake tambahan modal"
Mereka seringkali memerlukan kredit untuk menutup berbagai pengeluaran nonusaha yang kadang-kadang tidak terduga,dekne kabeh seringkali mbutuhake kredit kanggo menutup macem-macem sing ngenjaban nonusaha sing sok sok ora terduga
Salah satu penyedia layanan keuangan adalah lembaga perbankan,salah siji penyedia laden kedhuwitan yaiku lembaga perbankan
Lembaga ini secara ketat berorientasi komersial,Lembaga iki sacara ketat berorientasi komersial
"Perbankan di NTT, misalnya, tidak mempunyai skema pelayanan keuangan khusus bagi golongan miskin","Perbankan neng NTT, kaya ta, ora nduweni skema ladenan kedhuwitan khusus kanggo tunggalan miskin"
"Akses golongan miskin yang tinggal di perdesaan lebih terbatas lagi, karena pelayanan perbankan berada jauh di perkotaan","Akses tunggalan miskin sing tinggal neng pandesan luwih kewates meneh, amarga ladenan perbankan ana adoh neng kuthan"
Pelayanan utama yang disediakan lembaga-lembaga ini adalah kredit,ladenan utama sing dicawiske lembaga-lembaga iki yaiku kredit
Persoalan yang dihadapi suatu kelompok masyarakat adalah keberlangsungan kelompok,Persoalan sing diadhepi mubarang kelompok masyarakat yaiku keberlangsungan kelompok
Kelompok seperti ini biasanya mengembangkan kegiatan menabung sebagai kekuatan pendukung keberlangsungan pelayanan,Kelompok mangkene biyasane mengembangkan kemempengan nabung dadi kekuwatan pendukung keberlangsungan ladenan 
"Di daerah yang operasi lembaga keuangannya terbatas, banyak ditemukan kegiatan arisan","neng daerah sing operasi lembaga kedhuwitane kewates, akeh ditemokake kemempengan arisan"
Berbagai kelompok arisan mengembangkan kegiatan menabung sebagai sumber penyediaan pelayanan kredit bagi anggotanya,macem-macem kelompok arisan mengembangkan kemempengan nabung dadi sumber penyediaan ladenan kredit kanggo anggotanya 
"Lumbung pangan mengamankan mereka di musim paceklik, sementara ternak menjadi sumber dana untuk kebutuhan mendesak","Lumbung pangan mak-likna dekne kabeh neng musim paceklik, sementara ingon-ingon dadi sumber dana kanggo kebutuhan mendesak "
"Berbagai upaya penanggulangan kemiskinan telah dilakukan, di antaranya melalui penyediaan layanan keuangan mikro","macem-macem upaya penanggulangan kemiskinan wis dilakoke, neng antarane liwat penyediaan laden kedhuwitan mikro"
Pelayanan keuangan mikro merupakan strategi penting yang diyakini dapat membantu membebaskan masyarakat dari kemiskinan,ladenan kedhuwitan mikro ngrupakne strategi penting sing dipitaya i bisa ngewangi membebaskan masyarakat saka kemiskinan 
"Untuk menjawab pertanyaan tersebut, studi ini berupaya untuk","kanggo njawab pitakonan kesebut, studi iki berupaya kanggo"
2. Mengidentifikasi bentuk keuangan mikro yang belum tersedia bagi golongan miskin di NTT,2. Mengidentifikasi bentuk kedhuwitan mikro sing durung uwis dicawis kanggo tunggalan miskin neng NTT
3. Melihat seberapa luas kebutuhan masyarakat miskin akan pelayanan keuangan mikro yang belum tersedia,3. ndeleng sepira amba kebutuhan masyarakat miskin arep ladenan kedhuwitan mikro sing durung uwis dicawis
4. Mengidentifikasi faktor-faktor penyebab ketidaktersediaan pelayanan keuangan mikro di NTT,4. Mengidentifikasi faktor-faktor penyebab ketidaktersediaan ladenan kedhuwitan mikro neng NTT
Studi ini menggunakan pendekatan kualitatif melalui analisis data dan informasi yang dikumpulkan di Jakarta dan di NTT,Studi iki nggunakne panyedhakan kualitatif liwat analisis data lan informasi sing dikumpulake neng Jakarta lan neng NTT
Dalam waktu tiga bulan tersebut tim peneliti mengumpulkan informasi dari berbagai lembaga yang relevan di Jakarta dan di NT,jero wayah telu bulan kesebut tim peneliti ngumpulake informasi saka macem-macem lembaga sing relevan neng Jakarta lan neng NT 
Tim peneliti melakukan kunjungan ke NTT dan ke dua kabupaten -Kupang dan Manggarai- selama dua minggu pada bulan Agustus,Tim peneliti nglakoke kunjungan menyang NTT lan menyang loro kabupaten -Kupang lan Manggarai- sajrone loro minggu nang bulan Agustus
Wawancara tersebut didasarkan pada panduan wawancara yang telah disusun untuk setiap jenis lembaga,Wawancara kesebut didasarkan nang panduan wawancara sing wis disusun kanggo saben jenis lembaga
Data primer dikumpulkan melalui wawancara mendalam dengan masyarakat (responden),Data primer dikumpulake liwat wawancara njero karo masyarakat (responden)
Daftar lembaga dan lokasi responden yang diwawancarai disajikan pada Lampiran 1.1,Daftar lembaga lan lokasi responden sing diwawancarai dicawiske nang Lampiran 1.1
"Di setiap kecamatan, tim mengunjungi minimal satu desa dimana terdapat layanan keuangan mikro yang terpilih menjadi sampel","neng saben kecamatan, tim mengunjungi minimal siji desa diendi ana laden kedhuwitan mikro sing kepileh dadi sampel "
"Desa sampel di Kabupaten Kupang adalah Kelurahan Oesao di Kecamatan Kupang Timur, dan Desa Ponain di Kecamatan Amarasi","desa sampel neng Kabupaten Kupang yaiku Kelurahan Oesao neng Kecamatan Kupang wetan, lan desa Ponain neng Kecamatan Amarasi "
Desa sampel di Kabupaten Manggarai adalah Kelurahan Wae Belang di Kecamatan Ruteng dan Desa Golo Kantar di Kecamata,desa sampel neng Kabupaten Manggarai yaiku Kelurahan Wae Belang neng Kecamatan Ruteng lan desa Golo Kantar neng Kecamata 
"Secara umum, penyedia layanan keuangan mikro yang ditelusuri dalam studi ini dapat dibedakan menjadi empat golongan","sacara umum, penyedia laden kedhuwitan mikro sing ditelusuri jero studi iki bisa dipupuran dadi papat tunggalan"
"Lembaga formal dapat dibedakan menjadi dua, yaitu bank dan non bank","Lembaga formal bisa dipupuran dadi loro, yaiku bank lan non bank"
Dalam studi ini lembaga informal yang dilihat terutama adalah kelompok-kelompok bentukan masyarakat,jero studi iki lembaga informal sing didelok paling utama yaiku kelompok-kelompok bentukan masyarakat
Kegiatan lembaga-lembaga informal ini ditelusuri melalui wawancara dengan pengurus dan peserta kelompok,kemempengan lembaga-lembaga informal iki ditelusuri liwat wawancara karo panggering lan pamawa kelompok
"Bab III memberikan gambaran mengenai berbagai pelayanan keuangan mikro yang ada di NTT, khususnya di daerah sampel","Bab III menehake gambaran ngenani macem-macem ladenan kedhuwitan mikro sing ana neng NTT, khususnya neng daerah sampel"
"Dalam bab ini dikupas jenis pelayanan, cakupan wilayah, kinerja","jero bab iki dikupas jenis ladenan, cakupan wilayah, kinerja"
Bab IV menyajikan gambaran tentang pemanfaatan dan kebutuhan masyarakat miskin di daerah sampel terhadap layanan keuangan,Bab IV nyawiske gambaran babagan panggunan lan kebutuhan masyarakat miskin neng daerah sampel adhep laden kedhuwitan 
"Bab VI menyajikan kesimpulan, rekomendasi umum dan rekomendasi khusus yang ditujukan bagi pemerintah daerah dan Lembaga","Bab VI nyawiske kesimpulan, rekomendasi umum lan rekomendasi khusus sing ditujukan kanggo pamerentah daerah lan Lembaga "
1.4 Pelayanan Keuangan Mikro untuk Penanggulangan Kemiskinan,1.4 ladenan kedhuwitan Mikro kanggo Penanggulangan Kemiskinan
"Sampai saat ini, pelayanan keuangan mikro dianggap sebagai salah satu strategi kunci dalam penanggulangan kemiskinan","nganti wektu iki, ladenan kedhuwitan mikro dianggep dadi salah siji strategi kunci jero penanggulangan kemiskinan"
Pola ini telah menarik perhatian dunia sehingga diadopsi oleh banyak negara dan memperoleh dukungan dari banyak lembaga,Pola iki wis nggeret gatekan donya dadine diadopsi saka akeh negara lan nyaka dukungan saka akeh lembaga 
"The Consultative Group to Assist the Poor (CGAP), misalnya, pada 2003, menyatakan bahwa (Fernando, 1)","The Consultative Group to Assist the Poor (CGAP), kaya ta, nang 2003, ngomongke menawa (Fernando, 1)"
1. Bentuk pinjaman yang tidak fleksibel dengan pembayaran mingguan yang kaku dan tidak adanya pelayanan tabungan,1. bentuk silihan sing ora fleksibel karo pembayaran mingguan sing kaku lan ora anane ladenan tabungan
2. Dominasi staf program terhadap nasabah yang tidak memungkinkan adanya komunikasi timbal-balik,2. Dominasi staf program adhep nasabah sing ora mbokmenawakne anane komunikasi timbal-walik
1.5 Gambaran Umum Provinsi NTT dan Kabupaten Sampel,1.5 gambaran Umum Provinsi NTT lan Kabupaten Sampel
Kondisi topografi wilayah tersebut merupakan tantangan utama bagi transportasi dan komunikasi antardaerah,Kondisi topografi wilayah kesebut ngrupakne tantangan utama kanggo transportasi lan komunikasi antardaerah
"Prasarana dan sarana perhubungan di provinsi ini masih sangat terbatas, baik jumlah, mutu, maupun frekuensinya","Prasarana lan piranti hubungan neng provinsi iki isih kewates banget, becik cacah, numa, arepa frekuensinya"
Peran perhubungan laut sangat strategis dengan adanya 22 pelabuhan laut yang dilengkapi dermaga dan 12 pelabuhan tradisional,sabenan hubungan segara strategis banget karo anane 22 pelabuhan segara sing dipepaki dermaga lan 12 pelabuhan tradisional 
Pelabuhan-pelabuhan tersebut secara rutin disinggahi berbagai macam sarana transportasi laut,Pelabuhan-pelabuhan kesebut sacara rutin diampiri macem-macem macam piranti transportasi segara
"Walaupun demikian, akses perhubungan ke beberapa daerah di dalam kabupaten ini masih terbatas","parandene, akses hubungan menyang beberapa daerah neng jero kabupaten iki isih kewates"
"Beberapa daerah tidak dapat dijangkau dengan mudah, khususnya pada musim hujan","Beberapa daerah ora bisa dijangkau karo gampang, khususnya nang musim udan"
"Agak berbeda dengan Kabupaten Kupang, akses dari dan ke luar daerah dari Kabupaten Manggarai relatif lebih terbatas","radha beda karo Kabupaten Kupang, akses saka lan menyang njaba daerah saka Kabupaten Manggarai relatif luwih kewates"
"Di Ruteng, terdapat pelabuhan udara tetapi tidak setiap hari ada penerbangan dari dan ke Kupang","neng Ruteng, ana pelabuhan udara ning ora saben dina ana pamaburan saka lan menyang Kupang"
"Kondisi perhubungan dalam wilayah kabupaten juga cukup sulit, khususnya karena topografi daerah yang bergunung-gunung","Kondisi hubungan jero wilayah kabupaten uga cukup rekasa, khususnya amarga topografi daerah sing nduwe gunung-gunung "
"Pada umumnya iklim di Provinsi NTT termasuk sangat kering, dibandingkan rata-rata iklim di Indonesia","nang umumnya iklim neng Provinsi NTT klebu garing banget, dibandingna rata-rata iklim neng Indonesia"
"Meskipun kondisi tanah kurang menunjang usaha pertanian, perekonomian di NTT masih didominasi oleh sektor pertanian","sanajan kondisi lemah kurang menunjang upadi pertanian, perekonomian neng NTT isih didominasi saka sektor pertanian"
Provinsi NTT juga merupakan daerah penghasil ternak yang utama di Indonesia,Provinsi NTT uga ngrupakne daerah pamakoleh ingon-ingon sing utama neng Indonesia
"Kontribusi sektor pertanian juga dominan di kedua kabupaten sampel, khususnya di Manggarai","Kontribusi sektor pertanian uga dominan neng kapindho kabupaten sampel, khususnya neng Manggarai"
"Kabupaten Manggarai merupakan lumbung padi di NTT, yang memberikan kontribusi hampir 27% terhadap produksi padi di NTT","Kabupaten Manggarai ngrupakne lumbung pari neng NTT, sing menehake kontribusi hampir 27% adhep produksi pari neng NTT"
"Di samping itu, tanaman perkebunan khususnya kopi dan coklat juga merupakan komoditas utama di Kabupaten Manggarai","neng samping kuwi, tanduran kebonan khususnya kopi lan coklat uga ngrupakne komoditas utama neng Kabupaten Manggarai"
Terbatasnya kegiatan ekonomi di provinsi ini tercermin dari rendahnya produk regional bruto per kapita,kewatese kemempengan ekonomi neng provinsi iki pangilon saka cendheke produk regional bruto saben kapita
"Kehidupan ekonomi masyarakatnya juga relatif tertinggal, dan hal ini tercermin dari tingginya angka kemiskinan","kuripan ekonomi masyarakatnya uga relatif kari, lan hal iki pangilon saka dhuwure angka kemiskinan"
Keuangan mikro di Indonesia telah ada sejak akhir abad ke-19 dengan didirikannya Bank Kredit Rakyat dan Lumbung Desa,kedhuwitan mikro neng Indonesia wis ana ket akhir abad menyang-19 karo diawakake dheweke Bank Kredit Rakyat lan Lumbung desa
"Kedua lembaga ini dibentuk untuk membantu melepaskan para petani, pegawai, dan buruh dari lintah darat","kapindho lembaga iki dibentuk kanggo ngewangi cucul para petani, pegawai, lan buruh saka lintah darat"
"Pada 1929, pemerintah Hindia Belanda menerbitkan Staatblad 1929 No","nang 1929, pamerentah Hindia Walanda menerbitkan Staatblad 1929 No"
137 tentang pendirian Badan Kredit Desa (BKD) yang ditujukan untuk menangani kredit pedesaan di Jawa dan Bali,137 babagan pangawakan awak Kredit desa (BKD) sing ditujukan kanggo nangani kredit pandesan neng Jawa lan Bali
Kredit Bimas kemudian diganti dengan kredit usaha tani (KUT) yang kemudian berubah menjadi kredit ketahanan pangan (KKP,Kredit Bimas banjur digenti karo kredit upadi tani (KUT) sing banjur ngowah dadi kredit kekuwawan pangan (KKP 
Dengan dikeluarkannya Undang-undang (UU) No,karo dimetokake dheweke undang-undang (UU) No
Pada Oktober 1988 pemerintah mengeluarkan peraturan yang memberikan kemudahan pendirian BPR,nang Oktober 1988 pamerentah ngetoke aturan sing menehake kegampangan pangawakan BPR
Langkah ini diikuti dengan dikeluarkannya UU No,jangkah iki dimeloni karo dimetokake dheweke UU No
"7 Tahun 1992 tentang perbankan, yang menetapkan hanya ada dua jenis bank di Indonesia, yaitu Bank Umum dan BPR","7 taun 1992 babagan perbankan, sing menetapkan mung ana loro jenis bank neng Indonesia, yaiku Bank Umum lan BPR"
"Di samping itu, dalam rangka penanggulangan kemiskinan, pemerintah telah melaksanakan berbagai program kredit mikro","neng samping kuwi, jero saperlu penanggulangan kemiskinan, pamerentah wis nglakoni macem-macem program kredit mikro"
Pemerintah provinsi dan kabupaten juga mulai mengadopsi upaya serupa dalam program pembangunannya,pamerentah provinsi lan kabupaten uga anyak mengadopsi upaya padha rupa jero program panangene
"Dalam upaya memperkuat posisi LKM, pada 2000 dibentuk Gerakan Bersama Pengembangan Keuangan Mikro (GEMA PKM) Indonesia","jero upaya nguwatake posisi LKM, nang 2000 dibentuk obahan bareng Pengembangan kedhuwitan Mikro (GEMA PKM) Indonesia "
"Dengan demikian, lembaga keuangan mikro yang ada di Indonesia dapat diklasifikasikan ke dalam empat golongan besar, yaitu","karo mangkana, lembaga kedhuwitan mikro sing ana neng Indonesia bisa diklasifikasikan menjero papat tunggalan gedhe, yaiku "
"Bahkan, jumlah debitur perusahaan pegadaian paling banyak","Bahkan, cacah debitur upaden panggadhen paling akeh "
"Program yang paling menonjol antara lain Kukesra, P2KP, P4K, PPK, dan PEMP","Program sing paling menonjol antara liya Kukesra, P2KP, P4K, PPK, lan PEMP"
Program-program ini telah mempunyai jumlah debitur yang cukup besar,Program-program iki wis nduweni cacah debitur sing cukup gedhe
"Misalnya, jumlah debitur Kukesra 10,3 juta, P2KP 3,2 juta, PKM 2,3 juta","kaya ta, cacah debitur Kukesra 10,3 yuta, P2KP 3,2 yuta, PKM 2,3 yuta"
Kenaikan jumlah kantor yang cukup tinggi terlihat pada perusahaan pegadaian dan BRI,undhak-undhakan cacah kantor sing cukup dhuwur kedelok nang upaden panggadhen lan BRI
"Tabel 2.3 menunjukkan perkembangan kredit, simpanan dan nasabah di beberapa lembaga keuangan mikro pada 2000 dan 2003","Tabel 2.3 nunjukake perkembangan kredit, simpanan lan nasabah neng beberapa lembaga kedhuwitan mikro nang 2000 lan 2003 "
"Jumlah kredit yang diberikan BPR pada 2003 meningkat hampir 150% dari 2000, meskipun jumlah debiturnya hanya bertambah","cacah kredit sing diwenehna BPR nang 2003 ningkat hampir 150% saka 2000, sanajan cacah debiturnya mung nambah "
Keadaan yang hampir sama juga terlihat dalam hal mobilisasi dana,kaanan sing hampir padha uga kedelok jero hal mobilisasi dana
"Namun, apabila dilihat dari angka mutlak jumlah dana yang berhasil dihimpun dan disalurkan, BRI tetap menduduki ranking teratas","ning, yen didelok saka angka mutlak cacah dana sing kedadeyan diklumpuk lan disalurkan, BRI tetap nglinggihi ranking paling dhuwur "
Sumber pendanaan kegiatan pelayanan keuangan mikro yang dilakukan selama ini dapat dikategorikan ke dalam empat golongan,Sumber pendanaan kemempengan ladenan kedhuwitan mikro sing dilakoke sajrone iki bisa dikategorikan menjero papat tunggalan 
Pendanaan pemerintah pusat terdiri dari dana Kredit Likuiditas Bank Indonesia (KLBI) dan dana program,Pendanaan pamerentah puser awak saka dana Kredit Likuiditas Bank Indonesia (KLBI) lan dana program
"Program kredit ini antara lain adalah Bimas/Inmas, KUT, KKP, KUK, dan program-program pengembangan UKM lainnya","Program kredit iki antara liya yaiku Bimas/Inmas, KUT, KKP, KUK, lan program-program pengembangan UKM liyane"
Setelah BI tidak lagi menyalurkan kredit program berdasarkan UU No,sakwise BI ora meneh menyalurkan kredit program berdasarkan UU No
"23 Tahun 1999 tentang Bank Indonesia, maka pelaksanaan kredit program bekas KLBI diserahkan kepada tiga bank pelaksana","23 taun 1999 babagan Bank Indonesia, mula panganan kredit program bekas KLBI diserahkan marang telu bank pangana "
"Dana kredit program yang diserahkan pengelolaannya kepada BRI mencapai Rp9,5 triliun, BTN Rp3 triliun dan PNM Rp10,4 triliun","Dana kredit program sing diserahkan pengelolaannya marang BRI mencapai Rp9,5 triliun, BTN Rp3 triliun lan PNM Rp10,4 triliun "
Dana tersebut harus dikembalikan kepada BI dalam jangka waktu 5 tahun,Dana kesebut kudu dibalekne marang BI jero arah wayah 5 taun
Namun pelaksanaan kebijakan ini tidak berjalan baik,ning panganan kebijakan iki ora mlaku becik
Upaya penggalangan dana untuk kegiatan keuangan mikro juga dilakukan oleh BI bekerja sama dengan Bina Swadaya,Upaya penggalangan dana kanggo kemempengan kedhuwitan mikro uga dilakoke saka BI tandhang gawe padha karo Bina Swadaya
Pada tahun 1989 mereka melaksanakan program Pengembangan Hubungan Bank dengan Kelompok Swadaya Masyarakat (PHBK),nang taun 1989 dekne kabeh nglakoni program Pengembangan hubungan Bank karo Kelompok Swadaya Masyarakat (PHBK) 
"23 Tahun 1999 tentang Bank Indonesia dan sebagai dampak dari krisis moneter, kebijakan ini tidak dapat dilanjutkan (Susapto,","23 taun 1999 babagan Bank Indonesia lan dadi dampak saka krisis moneter, kebijakan iki ora bisa dibanjurke (Susapto, "
"Setelah itu, BI memfasilitasi hubungan antara bank dengan LKM melalui program Pengembangan Hubungan Bank dengan LKM","sakwise kuwi, BI memfasilitasi hubungan antara bank karo LKM liwat program Pengembangan hubungan Bank karo LKM "
"Kemudian, melalui Surat Keputusan (SK) Menteri Keuangan No","banjur, liwat layang Keputusan (SK) Menteri kedhuwitan No"
Berbagai lembaga donor maupun LSM juga ikut mendorong peningkatan kegiatan LKM,macem-macem lembaga donor arepa LSM uga melu nyurung undhak-undhakan kemempengan LKM
"Berdasarkan kesepakatan itu, bank akan menyalurkan dana Rp4,6 triliun untuk usaha mikro (Ismawan, 3)","Berdasarkan kesepakatan kuwi, bank arep menyalurkan dana Rp4,6 triliun kanggo upadi mikro (Ismawan, 3)"
Nasabah baru tidak diprioritaskan dan itupun harus memenuhi kelayakan usaha menurut persyaratan perbankan,Nasabah anyar ora diprioritaskan lan kuwia kudu ngebaki keprayogan upadi manut persyaratan perbankan
"Namun, program ini dinilai berbau politis dan belum diketahui perkembangannya","ning, program iki diaji mambu politis lan durung kawruhan perkembangannya"
"Disamping itu, masyarakat miskin lebih banyak memanfaatkan sumber informal yang didanai oleh masyarakat sendiri","Disamping kuwi, masyarakat miskin luwih akeh nggunakne sumber informal sing didanai saka masyarakat dhewe"
Sampai saat ini Indonesia belum memiliki peraturan yang khusus tentang LKM,nganti wektu iki Indonesia durung nduweni aturan sing khusus babagan LKM
Pengawasan terhadap BPR dilakukan oleh BI melalui Direktorat Pengawasan Bank Perkreditan Rakyat yang ada di BI,Pengawasan adhep BPR dilakoke saka BI liwat Direktorat Pengawasan Bank Perkreditan Rakyat sing ana neng BI
"Bagi koperasi, pengaturan dan pengawasannya mengikuti UU No 25 Tahun 1992 tentang Perkoperasian","kanggo koperasi, pangaturan lan pengawasannya meloni UU No 25 taun 1992 babagan Perkoperasian"
Pasal ini disertai dengan ancaman sanksi pindana penjara paling lama 15 tahun dan denda maksimal Rp10 miliar,Pasal iki dimawani karo ancaman sanksi pindana panjara paling suwe 15 taun lan denda maksimal Rp10 miliar
"Peraturan ini, menurut para pelaku LKM, sangat menghambat perkembangan kegiatan pelayanan keuangan mikro","aturan iki, manut para pamayu LKM, menghambat banget perkembangan kemempengan ladenan kedhuwitan mikro"
"Oleh karena itu, para pelaku usaha mikro mendorong dibuatnya peraturan perundangan tentang LKM","sarehdene kuwi, para pamayu upadi mikro nyurung digawene aturan ulem-ulem babagan LKM"
Sejak 2001 BI bersama Departemen Keuangan mulai menyusun rancangan undang-undang (RUU) tentang Keuangan Mikro,ket 2001 BI bareng Departemen kedhuwitan anyak menyusun rancangan undang-undang (RUU) babagan kedhuwitan Mikro
10 Tahun 1998 tentang Perbankan) atau koperasi (UU No,10 taun 1998 babagan Perbankan) utawa koperasi (UU No
Selama ini BI mengakui adanya keterbatasan upaya penguatan kelembagaan yang menghambat pengembangan LKM,sajrone iki BI ngakoni anane keterbatasan upaya pamotan kelembagaan sing menghambat pengembangan LKM
Hal ini antara lain disebabkan karena BI pada dasarnya lebih berkewajiban mengembangkan kapasitas LKM bank yaitu BPR,Hal iki antara liya diamergakne amarga BI nang dasarnya luwih berkewajiban mengembangkan kapasitas LKM bank yaiku BPR
Secara umum kebijakan pengembangan kapasitas lembaga yang dilakukan oleh BI meliputi,sacara umum kebijakan pengembangan kapasitas lembaga sing dilakoke saka BI meliputi
"Meskipun demikian, upaya tersebut juga menyentuh LKM lain, terutama LKM formal","parandene, upaya kesebut uga ndhemok LKM liya, paling utama LKM formal"
Program-program ini dapat dimanfaatkan oleh LKM lain dan masyarakat umum,Program-program iki bisa digunakne saka LKM liya lan masyarakat umum
Lembaga internasional juga melakukan kegiatan serupa,Lembaga internasional uga nglakoke kemempengan padha rupa
"Kegiatan ini juga dilakukan di Kabupaten Alor, NTT","kemempengan iki uga dilakoke neng Kabupaten Alor, NTT"
"Beberapa LSM juga memberikan bantuan kepada LKM, seperti yang dikerjakan Pusat Inkubasi Bisnis Usaha Kecil (PINBUK)","Beberapa LSM uga menehake bantuan marang LKM, kaya sing dikerjakne puser Inkubasi Bisnis upadi cilik (PINBUK)"
Berbagai kegiatan penguatan kapasitas ini meliputi,macem-macem kemempengan pamotan kapasitas iki meliputi
"bantuan permodalan, pelatihan, pendampingan, bantuan sarana, informasi dan promosi","bantuan permodalan, panglatian, pendampingan, bantuan piranti, informasi lan promosi"
Pelayanan keuangan mikro telah menjadi salah satu strategi kebijakan penting dalam upaya penanggulangan kemiskinan di NTT,ladenan kedhuwitan mikro wis dadi salah siji strategi kebijakan penting jero upaya penanggulangan kemiskinan neng NTT 
"Sebagai provinsi termiskin kedua di Indonesia, tidak cukup menarik bagi perbankan untuk beroperasi di NTT","dadi provinsi termiskin kapindho neng Indonesia, ora cukup nggeret kanggo perbankan kanggo beroperasi neng NTT "
Namun pada 2002 terjadi peningkatan 100% dari jumlah kantor bank umum di NTT menjadi 60 kantor (lihat Tabel 3.1),ning nang 2002 kedadean undhak-undhakan 100% saka cacah kantor bank umum neng NTT dadi 60 kantor (delok Tabel 3.1)
"Di sisi lain, baru-baru ini 2 dari 5 BPR di NTT ditutup karena tidak lagi dapat beroperasi secara layak","neng sisi liya, anyar-anyar iki 2 saka 5 BPR neng NTT ditutup amarga ora meneh bisa beroperasi sacara prayoga"
Lembaga formal lainnya yang cukup penting dari segi jumlah adalah koperasi,Lembaga formal liyane sing cukup penting saka segi cacah yaiku koperasi
"jumlah koperasi di NTT mencapai lebih dari seribu pada 2002, meskipun beberapa tahun terakhir ini jumlahnya tidak banyak","cacah koperasi neng NTT mencapai luwih saka sewu nang 2002, sanajan beberapa taun paling akhir iki cacahe ora akeh "
Tabel 3.2 memberi gambaran tentang penyaluran kredit mikro dan mobilisasi simpanan oleh bank pada 2003 di wilayah sampe,Tabel 3.2 menehi gambaran babagan penyaluran kredit mikro lan mobilisasi simpanan saka bank nang 2003 neng wilayah sampe 
Tabel 3.3 menyajikan beberapa skema kredit mikro bank-bank tersebut,Tabel 3.3 nyawiske beberapa skema kredit mikro bank-bank kesebut
BRI memiliki kredit umum pedesaan (Kupedes) dan simpanan pedesaan (Simpedes) yang dilayani melalui BRI unit desa,BRI nduweni kredit umum pandesan (Kupedes) lan simpanan pandesan (Simpedes) sing diladeni liwat BRI unit desa
"seorang kepala cabang, seorang mantri (pengelola kredit), dua orang petugas pembukuan, dan seorang kasir","sawong endhas cabang, sawong mantri (pengelola kredit), loro wong panugas pembukuan, lan sawong kasir"
Setiap BRI unit desa di NTT mempunyai nasabah kredit antara 500 sampai 1.000 orang,saben BRI unit desa neng NTT nduweni nasabah kredit antara 500 nganti 1.000 wong
"Di wilayah NTT, Bank ini mempunyai 15 kantor cabang dan 9 cabang pembantu","neng wilayah NTT, Bank iki nduweni 15 kantor cabang lan 9 cabang batur"
Pelayanan di perdesaan dilakukan melalui cabang pembantu,ladenan neng pandesan dilakoke liwat cabang batur
"seorang kepala cabang pembantu, seorang bagian kredit, seorang bagian pembukuan, dua orang kasir","sawong endhas cabang batur, sawong kanggonan kredit, sawong kanggonan pembukuan, loro wong kasir"
"Selain itu, Bank Mandiri melaksanakan program pemberdayaan usaha kecil dan koperasi (PUKK)","kajaba kuwi, Bank Mandiri nglakoni program pemberdayaan upadi cilik lan koperasi (PUKK)"
"Di Manggarai, juga terdapat BPR yang memberikan layanan kredit mikro untuk pertanian dan untuk modal kerja","neng Manggarai, uga ana BPR sing menehake laden kredit mikro kanggo pertanian lan kanggo modal kerja"
7 Tahun 1992 tentang Perbankan (lihat Kotak 2.1 di halaman 14),7 taun 1992 babagan Perbankan (delok Kotak 2.1 neng halaman 14)
Sehingga tetap sulit untuk produk ini menyentuh keluarga miskin,dadine tetap rekasa kanggo produk iki ndhemok keluarga miskin
"Di semua bank yang dikunjungi, sekitar 80% nasabahnya berpenghasilan tetap atau berstatus pegawai","neng kabeh bank sing dikunjungi, sekitar 80% nasabahnya berpenghasilan tetap utawa berstatus pegawai"
"Dengan demikian, sangat kecil kemungkinan bagi kebanyakan keluarga miskin di NTT untuk mengakses kredit bank","karo mangkana, cilik banget kebokmenawan kanggo kokehan keluarga miskin neng NTT kanggo mengakses kredit bank"
LKM formal nonbank yang cukup banyak memberikan pelayanan keuangan mikro di NTT adalah pegadaian dan koperasi,LKM formal nonbank sing cukup akeh menehake ladenan kedhuwitan mikro neng NTT yaiku panggadhen lan koperasi
3.1.2.1 Perusahaan Umum Pegadaian Perusahaan Umum (Perum),3.1.2.1 upaden Umum panggadhen upaden Umum (Perum)
